Freq(Hz),Eq=(1-S11)/(1+S11)(DB),Eq=(1-S11)/(1+S11)(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
150106875,-32.963741,46.888802,-0.26684546,-1.8809143,-89.63356,-81.630501,-90.748245,23.114532,-0.89244467,94.685562
150107812.5,-32.954777,46.56884,-0.2687113,-1.872992,-80.49408,106.61878,-83.184685,20.019554,-0.89244056,94.676064
150108750,-32.961193,46.874283,-0.26699609,-1.8810207,-85.336578,80.360252,-80.725586,134.22057,-0.89229465,94.669159
150109687.5,-32.965679,46.597153,-0.26823404,-1.8715154,-79.117325,-87.8909,-79.107559,-45.105888,-0.89233518,94.670906
150110625,-32.960804,46.699799,-0.26787549,-1.8757346,-88.692703,15.574121,-85.026749,-55.541035,-0.8920095,94.648026
150111562.5,-32.976513,46.650146,-0.26763758,-1.870815,-88.664612,-103.77116,-79.324059,126.21986,-0.89253962,94.659264
150112500,-32.977737,46.74781,-0.26711598,-1.8735567,-91.058372,107.05873,-76.131454,-137.23697,-0.89293081,94.647018
150113437.5,-32.967922,46.717701,-0.26756734,-1.8747488,-78.253029,2.84886,-85.635994,-161.66623,-0.89276147,94.638329
150114375,-32.980553,46.536774,-0.26807371,-1.866451,-76.209885,-92.619469,-85.999634,-179.10066,-0.89203972,94.625298
150115312.5,-32.966747,46.84351,-0.26697847,-1.8788724,-78.590004,-115.25587,-79.050957,11.784116,-0.89251107,94.632851
150116250,-32.973152,46.635052,-0.2678158,-1.8710736,-86.350563,-2.6353621,-84.9179,22.573738,-0.89333814,94.621414
150117187.5,-32.955276,46.841114,-0.26734307,-1.881282,-84.737648,58.942818,-82.75071,-87.561684,-0.89465666,94.611763
150118125,-32.980675,46.901245,-0.26626408,-1.8776309,-80.290054,-74.670013,-81.161697,177.14565,-0.89313215,94.605835
150119062.5,-32.974174,46.912357,-0.26640815,-1.8793784,-91.924454,-161.63721,-85.760681,-5.4759789,-0.89338887,94.611107
150120000,-32.967033,46.843506,-0.26696971,-1.8788103,-77.752739,54.811172,-76.489395,66.871338,-0.89312679,94.592438
150120937.5,-32.97086,46.900276,-0.26656988,-1.8797251,-75.719376,-160.37289,-94.609863,51.171047,-0.89249712,94.584961
150121875,-33.000965,46.587196,-0.26719612,-1.8636199,-82.42485,42.907837,-76.903717,-99.68145,-0.89318776,94.588135
150122812.5,-32.979244,46.597351,-0.26781467,-1.8686006,-91.193718,-70.376701,-85.878471,-136.35239,-0.89252245,94.584297
150123750,-32.957527,46.656464,-0.26819167,-1.8751053,-75.762955,-141.58231,-81.668793,59.239754,-0.89287156,94.576828
150124687.5,-32.941879,46.840828,-0.26775709,-1.8841784,-86.088737,31.386717,-80.911301,-62.406673,-0.89232945,94.573219
150125625,-33.004234,46.726902,-0.266406,-1.8672073,-94.964058,-19.332071,-84.772484,75.062279,-0.89253229,94.564934
150126562.5,-32.981686,46.718098,-0.26714182,-1.8717916,-83.50148,-174.64716,-74.529327,-54.051785,-0.89194721,94.559578
150127500,-32.932667,46.726791,-0.26860982,-1.8826569,-86.763275,-118.36139,-75.725739,-69.914314,-0.8924253,94.548103
150128437.5,-32.948032,46.584274,-0.26884329,-1.8749248,-80.018806,-49.604733,-79.353485,-75.679115,-0.89190048,94.542465
150129375,-32.973812,46.789864,-0.26702791,-1.8756961,-78.849197,139.21695,-81.720978,-171.49512,-0.89250374,94.543076
150130312.5,-32.935555,46.65303,-0.2688877,-1.8797494,-88.523918,-21.570446,-77.607719,38.079624,-0.89378667,94.535912
150131250,-32.946518,46.828785,-0.26767421,-1.8828012,-88.325203,-81.327255,-80.42318,-17.934893,-0.89354163,94.521324
150132187.5,-32.946404,46.955276,-0.26704675,-1.8867183,-81.609612,15.312191,-80.588074,35.389595,-0.89345682,94.51606
150133125,-32.927734,46.817215,-0.26831114,-1.8865205,-86.807854,142.2872,-81.79924,82.492096,-0.89230216,94.518944
150134062.5,-32.967892,46.516926,-0.26856279,-1.8685614,-76.373436,-57.835018,-83.051193,19.057926,-0.89311653,94.511742
150135000,-32.964825,46.636658,-0.26806468,-1.872919,-86.936638,-117.27353,-84.501541,68.48999,-0.89432728,94.511475
150135937.5,-32.988113,46.774658,-0.26666415,-1.8721431,-82.798225,172.45218,-78.501778,106.40749,-0.89328283,94.493759
150136875,-32.962513,46.781792,-0.26741552,-1.8778899,-80.065056,-121.54404,-79.152946,-13.882346,-0.89248931,94.496498
150137812.5,-32.968788,46.833263,-0.26696676,-1.8781159,-73.805779,96.978157,-75.5242,-54.827534,-0.89345908,94.488914
150138750,-32.955849,46.568138,-0.26868156,-1.8727388,-81.37001,-76.746002,-79.845741,-154.4133,-0.89377683,94.484505
150139687.5,-32.948814,46.699959,-0.26824456,-1.8783308,-86.22628,-138.08846,-79.82444,170.69658,-0.89424419,94.479477
150140625,-32.938656,46.859665,-0.26776245,-1.8854586,-86.942787,131.36595,-77.285706,130.6136,-0.89445877,94.475945
150141562.5,-33.001953,46.810501,-0.26606244,-1.8702598,-89.557877,152.98764,-85.397324,159.44057,-0.89400142,94.468788
150142500,-32.980293,46.880356,-0.26637957,-1.877073,-77.31694,-118.54116,-83.86367,36.960049,-0.8933025,94.453278
150143437.5,-32.963078,46.914658,-0.26673716,-1.8818523,-81.772255,43.471275,-80.84639,-141.63553,-0.89357156,94.4515
150144375,-32.984318,46.781754,-0.26674554,-1.8731798,-81.576576,-71.431038,-75.974525,-135.54056,-0.89460039,94.447426
150145312.5,-32.967613,46.755505,-0.26738921,-1.8759793,-79.567322,-105.21684,-74.521416,-70.642273,-0.8940779,94.449707
150146250,-32.970352,46.883354,-0.26666966,-1.8793157,-79.073433,100.535,-81.964417,-47.485359,-0.89413261,94.432938
150147187.5,-32.955746,46.763573,-0.26771444,-1.8787931,-81.056786,-38.540657,-81.141136,115.66586,-0.89428371,94.430656
150148125,-32.959934,46.782646,-0.2674906,-1.8784742,-79.924873,81.527206,-89.856712,145.83458,-0.89355487,94.426117
150149062.5,-32.974632,46.628239,-0.267804,-1.8705455,-85.025833,13.514032,-74.708031,58.862026,-0.89379811,94.413559
150150000,-32.962414,46.747505,-0.26758891,-1.8768562,-82.458176,-148.37889,-88.228134,-26.481861,-0.89352739,94.409149
150150937.5,-32.965927,46.621647,-0.26810503,-1.8722179,-85.96785,122.73096,-81.430435,-171.13506,-0.89458907,94.412514
150151875,-32.936234,46.759365,-0.26833728,-1.8828896,-81.475777,-109.75335,-92.104408,167.2332,-0.89464605,94.396248
150152812.5,-32.984138,46.745682,-0.26692978,-1.8721105,-78.627022,84.140755,-84.483246,-118.27483,-0.89534384,94.388275
150153750,-32.952465,46.632538,-0.26846665,-1.875459,-80.405846,-159.48706,-81.087257,148.44577,-0.89408171,94.386139
150154687.5,-32.972691,46.715775,-0.2674301,-1.8736603,-78.077728,-91.876717,-77.988266,-170.75832,-0.89391804,94.383186
150155625,-32.992397,46.629997,-0.26724836,-1.8667769,-76.013725,-118.52534,-88.986595,87.373611,-0.89500123,94.381744
150156562.5,-32.992058,46.521698,-0.26779333,-1.8635147,-84.618195,141.61868,-82.796661,-121.98399,-0.89556879,94.367905
150157500,-32.973728,46.716568,-0.26739424,-1.8734609,-77.980438,-164.97298,-81.429337,-39.636951,-0.89468724,94.368233
150158437.5,-32.931095,46.851677,-0.26803541,-1.8868545,-80.379921,142.89708,-95.671631,68.541252,-0.89487511,94.360092
150159375,-32.970486,46.838253,-0.26688981,-1.8779025,-86.807373,-158.62556,-80.099434,125.70067,-0.89392543,94.348236
150160312.5,-32.950806,46.699829,-0.26818368,-1.8778961,-79.384155,165.63696,-83.632256,-7.068646,-0.89458489,94.349243
150161250,-32.964981,46.77713,-0.26736277,-1.8772135,-81.852577,-13.547527,-85.11908,-43.388378,-0.89530277,94.342087
150162187.5,-32.925072,46.622562,-0.26936412,-1.8810763,-87.259834,-14.520575,-94.390381,8.333581,-0.89476341,94.319427
150163125,-32.970276,46.844952,-0.26686293,-1.8781534,-81.714973,150.27353,-82.047493,-90.763222,-0.89422911,94.329041
150164062.5,-32.982811,46.680019,-0.26729572,-1.8703778,-84.078331,37.621475,-82.360733,87.09803,-0.89578706,94.328041
150165000,-32.95668,46.96888,-0.26666319,-1.8849039,-85.188759,-152.69011,-80.82695,-33.241051,-0.89408678,94.311775
150165937.5,-33.013191,46.754608,-0.26599473,-1.8661306,-82.78112,-11.947802,-84.852234,-76.670799,-0.89594507,94.304825
150166875,-32.98299,46.802189,-0.26668492,-1.8740934,-79.082306,-171.69377,-78.764191,-87.31469,-0.89541751,94.303993
150167812.5,-32.953148,46.903698,-0.2670967,-1.8836681,-85.76651,11.911322,-81.26619,-85.438354,-0.89440906,94.298462
150168750,-32.965893,46.712704,-0.2676546,-1.8750329,-100.70612,139.34152,-84.287529,-28.451309,-0.89536071,94.305946
150169687.5,-33.005939,46.694069,-0.26651588,-1.865834,-88.355797,74.136635,-78.278076,177.07277,-0.89565825,94.294891
150170625,-32.981049,46.91209,-0.26619875,-1.8778822,-81.109612,21.935062,-82.58976,-149.62193,-0.89387178,94.282799
150171562.5,-32.964119,46.760845,-0.26747012,-1.8768982,-85.952553,49.176342,-85.250809,-113.92365,-0.89583266,94.277969
150172500,-33.004162,46.821636,-0.26593971,-1.8701251,-73.024048,-62.742916,-86.971329,-80.546425,-0.89521009,94.270187
150173437.5,-32.979275,46.714931,-0.26723161,-1.8722136,-85.933891,101.20026,-81.710426,-71.16272,-0.89447045,94.267609
150174375,-32.956516,46.807018,-0.26747465,-1.8799644,-77.82856,-105.35159,-78.285225,-47.860828,-0.89529282,94.252213
150175312.5,-32.988342,46.861942,-0.26622435,-1.8747702,-74.800461,2.3538306,-82.186607,43.931583,-0.89461857,94.25219
150176250,-32.962948,46.704559,-0.2677857,-1.8754176,-78.16526,-157.69753,-83.762436,119.12666,-0.89494169,94.246651
150177187.5,-32.954479,46.660027,-0.26826799,-1.8758733,-87.359207,-49.852791,-73.147537,-55.412609,-0.89557654,94.234253
150178125,-32.94183,46.896816,-0.26747918,-1.885913,-82.204483,-158.53923,-88.61377,34.016773,-0.8945455,94.239098
150179062.5,-32.96769,46.544121,-0.26843449,-1.8694446,-78.400101,146.18518,-81.140373,18.678986,-0.8951478,94.2323
150180000,-32.970268,46.612049,-0.26801869,-1.8709867,-79.154465,48.975914,-104.44207,58.873417,-0.89504778,94.225204
150180937.5,-32.983685,46.783588,-0.26675579,-1.8733723,-85.016167,-48.627285,-81.894241,53.686329,-0.89520925,94.216019
150181875,-32.967571,46.534985,-0.26848331,-1.8691876,-73.119682,-146.23581,-82.188385,76.328453,-0.89587379,94.212532
150182812.5,-32.98378,47.009151,-0.26563251,-1.8802621,-80.909515,-128.75058,-79.194351,39.410511,-0.89563835,94.205368
150183750,-32.975613,46.787086,-0.26698646,-1.8752224,-97.611778,124.6902,-88.532509,142.97992,-0.8943066,94.19313
150184687.5,-32.958286,46.649403,-0.2682032,-1.8747231,-78.277412,-71.323608,-83.811409,60.065437,-0.89469141,94.186096
150185625,-32.981426,46.686783,-0.26730496,-1.8708847,-82.890869,100.27722,-74.140617,-124.27788,-0.89621425,94.184166
150186562.5,-32.992256,47.096947,-0.26493669,-1.8811063,-85.502663,-87.697243,-79.626213,98.874825,-0.89454919,94.189064
150187500,-32.943554,46.658009,-0.2686156,-1.8781729,-78.085701,6.4750476,-81.105721,-3.9252911,-0.89376968,94.173996
150188437.5,-32.954578,46.466625,-0.26922366,-1.8698705,-94.38089,77.304237,-85.456169,-4.6744971,-0.895455,94.167389
150189375,-32.973602,46.721485,-0.26737359,-1.8736385,-75.803703,-99.416489,-78.510452,167.95657,-0.89569616,94.168579
150190312.5,-32.960846,46.742245,-0.26766336,-1.8770331,-92.709496,170.13181,-81.823151,66.433609,-0.89413136,94.160416
150191250,-32.988934,46.774788,-0.26663831,-1.8719701,-84.532837,91.095329,-74.761566,-6.9917831,-0.89513773,94.156815
150192187.5,-32.970242,46.880867,-0.26668543,-1.8792632,-88.586212,-50.665714,-88.201164,-65.192955,-0.89603055,94.148788
150193125,-32.992973,46.789803,-0.26644003,-1.8715597,-75.778587,56.788242,-76.969116,-123.23624,-0.89585578,94.132881
150194062.5,-32.99202,47.038383,-0.26523533,-1.8793708,-80.328453,17.67688,-76.633301,-12.38686,-0.89499283,94.129242
