Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150095000,0.0004614811800709523,0.00029770987677847036,0.00035260985356088206,2166.9356047114447,1397.9294491843375,-1655.7183244952414
150096000,0.0004614850832966676,0.000297711504233078,0.0003526135878729154,2166.9172768410936,1397.9134437640998,-1655.707851166991
150097000,0.000461488987133629,0.0002977131315393359,0.0003526173231063171,2166.898946410696,1397.897434285721,-1655.6973778964511
150098000,0.0004614928915820914,0.00029771475869719267,0.00035262105926145746,2166.880613419194,1397.8814207476612,-1655.6869046835043
150099000,0.00046149679664230945,0.0002977163857065966,0.0003526247963387063,2166.8622778655304,1397.865403148382,-1655.6764315280343
150100000,0.0004615007023145378,0.0002977180125674962,0.0003526285343384336,2166.843939748645,1397.849381486344,-1655.6659584299232
150101000,0.00046150460859903174,0.00029771963927983973,0.00035263227326101,2166.82559906748,1397.8333557600065,-1655.655485389054
150102000,0.00046150851549604663,0.00029772126584357586,0.0003526360131068061,2166.8072558209738,1397.817325967827,-1655.645012405308
150103000,0.0004615124230058374,0.0002977228922586527,0.0003526397538761926,2166.7889100080665,1397.8012921082636,-1655.634539478569
150104000,0.00046151633112865957,0.00029772451852501863,0.0003526434955695403,2166.7705616276967,1397.785254179774,-1655.6240666087178
150105000,0.00046152023986476904,0.000297726144642622,0.00035264723818722086,2166.752210678803,1397.7692121808134,-1655.613593795638
150106000,0.0004615241492144212,0.0002977277706114112,0.0003526509817296051,2166.7338571603245,1397.7531661098396,-1655.6031210392111
150107000,0.00046152805917787197,0.00029772939643133404,0.00035265472619706487,2166.7155010711967,1397.7371159653042,-1655.5926483393193
150108000,0.0004615319697553774,0.00029773102210233935,0.00035265847158997177,2166.697142410358,1397.7210617456642,-1655.5821756958442
150109000,0.0004615358809471938,0.0002977326476243749,0.0003526622179086981,2166.6787811767426,1397.7050034493693,-1655.5717031086674
150110000,0.00046153979275357704,0.000297734272997389,0.00035266596515361545,2166.660417369288,1397.6889410748752,-1655.561230577671
150111000,0.00046154370517478393,0.0002977358982213298,0.0003526697133250966,2166.6420509869286,1397.672874620631,-1655.5507581027362
150112000,0.000461547618211071,0.00029773752329614536,0.00035267346242351416,2166.623682028597,1397.6568040850877,-1655.5402856837447
150113000,0.00046155153186269466,0.00029773914822178385,0.00035267721244924046,2166.6053104932316,1397.6407294666974,-1655.5298133205783
150114000,0.000461555446129912,0.00029774077299819335,0.0003526809634026486,2166.586936379761,1397.6246507639073,-1655.519341013117
150115000,0.0004615593610129797,0.0002977423976253217,0.00035268471528411175,2166.5685596871213,1397.6085679751666,-1655.5088687612435
150116000,0.0004615632765121554,0.00029774402210311726,0.0003526884680940034,2166.5501804142446,1397.5924810989231,-1655.4983965648387
150117000,0.0004615671926276959,0.00029774564643152775,0.0003526922218326968,2166.531798560061,1397.576390133623,-1655.4879244237825
150118000,0.00046157110935985866,0.0002977472706105012,0.00035269597650056567,2166.5134141235026,1397.560295077713,-1655.4774523379565
